year,make,model,trim,body,market,interval_schedule,engine_oil_change,oil_filter,air_filter,cabin_air_filter,fuel_filter,spark_plugs,drive_belt_timing,drive_belt_accessory,coolant,brake_fluid,clutch_fluid,manual_trans_fluid,automatic_trans_fluid,cvt_fluid,front_diff_fluid,rear_diff_fluid,transfer_case_or_center_diff,brake_inspection,tire_rotation,wheel_alignment,engine_air_intake_inspection,battery_service,pcv_valve,throttle_body_service,check_engine_cooling_hoses,check_brake_pads_rotors,check_suspension_steering,check_exhaust,rotate_inspect_tires,notes,source_1,source_2,confidence
2008,Subaru,Dias Wagon,Super Charger (JDM),Wagon,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2008,Subaru,Dias Wagon,TA (JDM),Wagon,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2008,Subaru,Exiga,2.0GT (JDM),Wagon,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a","replace: 62,000 mi / 100,000 km / n/a",,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing belt,Subaru Japan Owner's Manual,,high
2008,Subaru,Exiga,2.0i (JDM),Wagon,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a","replace: 62,000 mi / 100,000 km / n/a",,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing belt,Subaru Japan Owner's Manual,,high
2008,Subaru,Exiga,2.5i (JDM),Wagon,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a","replace: 62,000 mi / 100,000 km / n/a",,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing belt,Subaru Japan Owner's Manual,,high
2008,Subaru,Forester,2.0X (JDM),SUV,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a","replace: 62,000 mi / 100,000 km / n/a",,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing belt,Subaru Japan Owner's Manual,,high
2008,Subaru,Forester,2.0XS (JDM),SUV,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a","replace: 62,000 mi / 100,000 km / n/a",,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing belt,Subaru Japan Owner's Manual,,high
2008,Subaru,Forester,2.0XT (JDM),SUV,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a","replace: 62,000 mi / 100,000 km / n/a",,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing belt,Subaru Japan Owner's Manual,,high
2008,Subaru,Forester,S-Edition (JDM),SUV,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a","replace: 62,000 mi / 100,000 km / n/a",,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing belt,Subaru Japan Owner's Manual,,high
2008,Subaru,Forester,Sports 2.5 XT (US),,USDM,OEM Schedule (Pre-2011),"normal: 7,500 mi / 12,000 km / 7 mo | severe: 3,750 mi / 6,000 km / 3 mo","replace: 7,500 mi / 12,000 km / 7 mo","replace: 30,000 mi / 48,500 km / 30 mo","replace: 15,000 mi / 24,000 km / 12 mo",,"replace: 60,000 mi / 96,500 km / 60 mo","replace: 105,000 mi / 169,000 km / 105 mo",,"initial: replace: 137,500 mi / 221,500 km / 132 mo | interval: replace: 75,000 mi / 120,500 km / 72 mo","replace: 30,000 mi / 48,500 km / 30 mo",,,,"inspect: 30,000 mi / 48,500 km / 30 mo","inspect: 30,000 mi / 48,500 km / 30 mo","inspect: 30,000 mi / 48,500 km / 30 mo",,"inspect: 7,500 mi / 12,000 km / 7 mo ","rotate: 7,500 mi / 12,000 km / 7 mo ",,,,,,,,,,,timing belt; Blue Super Coolant,Subaru Warranty & Maintenance Booklet,,high
2008,Subaru,Impreza,1.5i (JDM),Hatchback,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a","replace: 62,000 mi / 100,000 km / n/a",,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing belt,Subaru Japan Owner's Manual,,high
2008,Subaru,Impreza,2.0i (JDM),Hatchback,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a","replace: 62,000 mi / 100,000 km / n/a",,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing belt,Subaru Japan Owner's Manual,,high
2008,Subaru,Impreza,2.5i (US),,USDM,OEM Schedule (Pre-2011),"normal: 7,500 mi / 12,000 km / 7 mo | severe: 3,750 mi / 6,000 km / 3 mo","replace: 7,500 mi / 12,000 km / 7 mo","replace: 30,000 mi / 48,500 km / 30 mo","replace: 15,000 mi / 24,000 km / 12 mo",,"replace: 30,000 mi / 48,500 km / 30 mo","replace: 105,000 mi / 169,000 km / 105 mo",,"initial: replace: 137,500 mi / 221,500 km / 132 mo | interval: replace: 75,000 mi / 120,500 km / 72 mo","replace: 30,000 mi / 48,500 km / 30 mo",,,,"inspect: 30,000 mi / 48,500 km / 30 mo","inspect: 30,000 mi / 48,500 km / 30 mo","inspect: 30,000 mi / 48,500 km / 30 mo",,"inspect: 7,500 mi / 12,000 km / 7 mo ","rotate: 7,500 mi / 12,000 km / 7 mo ",,,,,,,,,,,timing belt; Blue Super Coolant,Subaru Warranty & Maintenance Booklet,,high
2008,Subaru,Impreza,Anesis 1.5i (JDM),Sedan,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a","replace: 62,000 mi / 100,000 km / n/a",,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing belt,Subaru Japan Owner's Manual,,high
2008,Subaru,Impreza,Anesis 2.0i (JDM),Sedan,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a","replace: 62,000 mi / 100,000 km / n/a",,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing belt,Subaru Japan Owner's Manual,,high
2008,Subaru,Impreza,Outback Sport (US),,USDM,OEM Schedule (Pre-2011),"normal: 7,500 mi / 12,000 km / 7 mo | severe: 3,750 mi / 6,000 km / 3 mo","replace: 7,500 mi / 12,000 km / 7 mo","replace: 30,000 mi / 48,500 km / 30 mo","replace: 15,000 mi / 24,000 km / 12 mo",,"replace: 30,000 mi / 48,500 km / 30 mo","replace: 105,000 mi / 169,000 km / 105 mo",,"initial: replace: 137,500 mi / 221,500 km / 132 mo | interval: replace: 75,000 mi / 120,500 km / 72 mo","replace: 30,000 mi / 48,500 km / 30 mo",,,,"inspect: 30,000 mi / 48,500 km / 30 mo","inspect: 30,000 mi / 48,500 km / 30 mo","inspect: 30,000 mi / 48,500 km / 30 mo",,"inspect: 7,500 mi / 12,000 km / 7 mo ","rotate: 7,500 mi / 12,000 km / 7 mo ",,,,,,,,,,,timing belt; Blue Super Coolant,Subaru Warranty & Maintenance Booklet,,high
2008,Subaru,Impreza,S-GT (JDM),Hatchback,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a","replace: 62,000 mi / 100,000 km / n/a",,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing belt,Subaru Japan Owner's Manual,,high
2008,Subaru,Impreza,WRX (JDM),Sedan,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a","replace: 62,000 mi / 100,000 km / n/a",,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing belt,Subaru Japan Owner's Manual,,high
2008,Subaru,Impreza,WRX (US),,USDM,OEM Schedule (Pre-2011),"normal: 7,500 mi / 12,000 km / 7 mo | severe: 3,750 mi / 6,000 km / 3 mo","replace: 7,500 mi / 12,000 km / 7 mo","replace: 30,000 mi / 48,500 km / 30 mo","replace: 15,000 mi / 24,000 km / 12 mo",,"replace: 60,000 mi / 96,500 km / 60 mo","replace: 105,000 mi / 169,000 km / 105 mo",,"initial: replace: 137,500 mi / 221,500 km / 132 mo | interval: replace: 75,000 mi / 120,500 km / 72 mo","replace: 30,000 mi / 48,500 km / 30 mo",,,,"inspect: 30,000 mi / 48,500 km / 30 mo","inspect: 30,000 mi / 48,500 km / 30 mo","inspect: 30,000 mi / 48,500 km / 30 mo",,"inspect: 7,500 mi / 12,000 km / 7 mo ","rotate: 7,500 mi / 12,000 km / 7 mo ",,,,,,,,,,,timing belt; Blue Super Coolant,Subaru Warranty & Maintenance Booklet,,high
2008,Subaru,Impreza,WRX STI (JDM),Hatchback,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a","replace: 62,000 mi / 100,000 km / n/a",,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing belt,Subaru Japan Owner's Manual,,high
2008,Subaru,Impreza,WRX STI (US),,USDM,OEM Schedule (Pre-2011),"normal: 7,500 mi / 12,000 km / 7 mo | severe: 3,750 mi / 6,000 km / 3 mo","replace: 7,500 mi / 12,000 km / 7 mo","replace: 30,000 mi / 48,500 km / 30 mo","replace: 15,000 mi / 24,000 km / 12 mo",,"replace: 60,000 mi / 96,500 km / 60 mo","replace: 105,000 mi / 169,000 km / 105 mo",,"initial: replace: 137,500 mi / 221,500 km / 132 mo | interval: replace: 75,000 mi / 120,500 km / 72 mo","replace: 30,000 mi / 48,500 km / 30 mo",,,,"inspect: 30,000 mi / 48,500 km / 30 mo","inspect: 30,000 mi / 48,500 km / 30 mo","inspect: 30,000 mi / 48,500 km / 30 mo",,"inspect: 7,500 mi / 12,000 km / 7 mo ","rotate: 7,500 mi / 12,000 km / 7 mo ",,,,,,,,,,,timing belt; Blue Super Coolant,Subaru Warranty & Maintenance Booklet,,high
2008,Subaru,Impreza,WRX STI A-Line (JDM),Sedan,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a","replace: 62,000 mi / 100,000 km / n/a",,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing belt,Subaru Japan Owner's Manual,,high
2008,Subaru,Impreza,WRX STI Spec C (JDM),Sedan,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a","replace: 62,000 mi / 100,000 km / n/a",,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing belt,Subaru Japan Owner's Manual,,high
2008,Subaru,Legacy,3.0R Limited (US),,USDM,OEM Schedule (Pre-2011),"normal: 7,500 mi / 12,000 km / 7 mo | severe: 3,750 mi / 6,000 km / 3 mo","replace: 7,500 mi / 12,000 km / 7 mo","replace: 30,000 mi / 48,500 km / 30 mo","replace: 15,000 mi / 24,000 km / 12 mo",,"replace: 60,000 mi / 96,500 km / 60 mo",,,"initial: replace: 137,500 mi / 221,500 km / 132 mo | interval: replace: 75,000 mi / 120,500 km / 72 mo","replace: 30,000 mi / 48,500 km / 30 mo",,,,"inspect: 30,000 mi / 48,500 km / 30 mo","inspect: 30,000 mi / 48,500 km / 30 mo","inspect: 30,000 mi / 48,500 km / 30 mo",,"inspect: 7,500 mi / 12,000 km / 7 mo ","rotate: 7,500 mi / 12,000 km / 7 mo ",,,,,,,,,,,timing chain (no interval); Blue Super Coolant,Subaru Warranty & Maintenance Booklet,,high
2008,Subaru,Legacy,B4 2.0GT (JDM),Sedan,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a","replace: 62,000 mi / 100,000 km / n/a",,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing belt,Subaru Japan Owner's Manual,,high
2008,Subaru,Legacy,B4 2.0GT Spec.B (JDM),Sedan,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a","replace: 62,000 mi / 100,000 km / n/a",,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing belt,Subaru Japan Owner's Manual,,high
2008,Subaru,Legacy,B4 3.0R (JDM),Sedan,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2008,Subaru,Legacy,B4 3.0R Spec.B (JDM),Sedan,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2008,Subaru,Legacy,GT Limited (US),,USDM,OEM Schedule (Pre-2011),"normal: 7,500 mi / 12,000 km / 7 mo | severe: 3,750 mi / 6,000 km / 3 mo","replace: 7,500 mi / 12,000 km / 7 mo","replace: 30,000 mi / 48,500 km / 30 mo","replace: 15,000 mi / 24,000 km / 12 mo",,"replace: 60,000 mi / 96,500 km / 60 mo","replace: 105,000 mi / 169,000 km / 105 mo",,"initial: replace: 137,500 mi / 221,500 km / 132 mo | interval: replace: 75,000 mi / 120,500 km / 72 mo","replace: 30,000 mi / 48,500 km / 30 mo",,,,"inspect: 30,000 mi / 48,500 km / 30 mo","inspect: 30,000 mi / 48,500 km / 30 mo","inspect: 30,000 mi / 48,500 km / 30 mo",,"inspect: 7,500 mi / 12,000 km / 7 mo ","rotate: 7,500 mi / 12,000 km / 7 mo ",,,,,,,,,,,timing belt; Blue Super Coolant,Subaru Warranty & Maintenance Booklet,,high
2008,Subaru,Legacy,S402 STI (JDM),Sedan,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a","replace: 62,000 mi / 100,000 km / n/a",,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing belt,Subaru Japan Owner's Manual,,high
2008,Subaru,Legacy,Touring Wagon 2.0GT (JDM),Wagon,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a","replace: 62,000 mi / 100,000 km / n/a",,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing belt,Subaru Japan Owner's Manual,,high
2008,Subaru,Legacy,Touring Wagon 2.0GT Spec.B (JDM),Wagon,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a","replace: 62,000 mi / 100,000 km / n/a",,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing belt,Subaru Japan Owner's Manual,,high
2008,Subaru,Outback,2.5i (JDM),Wagon,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a","replace: 62,000 mi / 100,000 km / n/a",,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing belt,Subaru Japan Owner's Manual,,high
2008,Subaru,Outback,3.0R (JDM),Wagon,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2008,Subaru,Pleo,A (JDM),Hatchback,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
2008,Subaru,Pleo,L (JDM),Hatchback,JDM,JDM Maintenance Schedule,"normal: 6,000 mi / 10,000 km / 12 mo | severe: 3,000 mi / 5,000 km / 6 mo","replace: 6,000 mi / 10,000 km / 12 mo","replace: 31,000 mi / 50,000 km / 24 mo",,,"replace: 62,000 mi / 100,000 km / n/a",,,"replace: 93,000 mi / 150,000 km / 144 mo","replace: 18,500 mi / 30,000 km / 24 mo",,,,"inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo","inspect: 25,000 mi / 40,000 km / 24 mo",,,,,,,,,,,,,,timing chain (no interval),Subaru Japan Owner's Manual,,high
